138 37

3.750 3.775 3.800 3.825 3.850 3.875 3.900 3.925 3.950 3.975 4.000 4.025 4.050 4.075 4.100 4.125 4.150 4.175 4.200 4.225 4.250 4.275 4.300 4.325 4.350 4.375 4.400 4.425 4.450 4.475 4.500 4.525 4.550 4.575 4.600 4.625 4.650 4.675 4.700 4.725 4.750 4.775 4.800 4.825 4.850 4.875 4.900 4.925 4.950 4.975 5.000 5.025 5.050 5.075 5.100 5.125 5.150 5.175 5.200 5.225 5.250 5.275 5.300 5.325 5.350 5.375 5.400 5.425 5.450 5.475 5.500 5.525 5.550 5.575 5.600 5.625 5.650 5.675 5.700 5.725 5.750 5.775 5.800 5.825 5.850 5.875 5.900 5.925 5.950 5.975 6.000 6.050 6.100 6.150 6.200 6.250 6.300 6.350 6.400 6.450 6.500 6.550 6.600 6.650 6.700 6.750 6.800 6.850 6.900 6.950 7.000 7.050 7.100 7.150 7.200 7.250 7.300 7.350 7.400 7.450 7.500 7.550 7.600 7.650 7.700 7.750 7.800 7.850 7.900 7.950 8.000 8.100 8.200 8.300 8.400 8.500 8.600 8.700
-8.000 -7.750 -7.500 -7.250 -7.000 -6.750 -6.500 -6.250 -6.000 -5.750 -5.500 -5.250 -5.000 -4.750 -4.500 -4.250 -4.000 -3.750 -3.500 -3.250 -3.000 -2.750 -2.500 -2.250 -2.000 -1.750 -1.500 -1.250 -1.000 -0.750 -0.500 -0.250 0.000 0.250 0.500 0.750 1.000

   1.5135612e-01   1.2779092e-01   1.0604739e-01   8.6198558e-02   6.8865230e-02   5.4575786e-02   4.2854852e-02   3.3612437e-02   2.6211990e-02   2.0535250e-02   1.6069413e-02   1.2676519e-02   1.0069317e-02   8.1470428e-03   6.7065629e-03   5.7543994e-03   5.1050500e-03   4.8194780e-03   4.7918145e-03   5.0582466e-03   5.6558776e-03   6.5917390e-03   8.0352612e-03   1.0034598e-02   1.2927067e-02   1.6730156e-02   2.1953309e-02   2.9648314e-02   4.1020410e-02   5.8681337e-02   8.6696188e-02   1.2971793e-01   1.9792470e-01   3.0867396e-01   4.9203954e-01   7.7446180e-01   1.2189896e+00
   1.9792470e-01   1.8197009e-01   1.6330519e-01   1.4338377e-01   1.2274392e-01   1.0303861e-01   8.4430624e-02   6.8548823e-02   5.4890856e-02   4.3853070e-02   3.4793651e-02   2.7861212e-02   2.2361452e-02   1.8365383e-02   1.5346170e-02   1.3304544e-02   1.1912420e-02   1.1297959e-02   1.1246050e-02   1.1844044e-02   1.3182567e-02   1.5135612e-02   1.8155157e-02   2.2335722e-02   2.8379190e-02   3.6099401e-02   4.6238102e-02   6.0813500e-02   8.1564279e-02   1.1194379e-01   1.5667511e-01   2.2156441e-01   3.1805337e-01   4.6935343e-01   7.1039517e-01   1.0653689e+00   1.6069413e+00
   2.3496328e-01   2.2882317e-01   2.1777098e-01   2.0300185e-01   1.8513989e-01   1.6443717e-01   1.4256076e-01   1.2161860e-01   1.0185914e-01   8.4722741e-02   6.9823240e-02   5.7743087e-02   4.7807937e-02   4.0411037e-02   3.4633788e-02   3.0690220e-02   2.7957607e-02   2.6791683e-02   2.6791683e-02   2.8183829e-02   3.1117163e-02   3.5359002e-02   4.1638972e-02   5.0408062e-02   6.3023135e-02   7.8523563e-02   9.8514464e-02   1.2647363e-01   1.6519618e-01   2.1877616e-01   2.9478135e-01   3.9902490e-01   5.4575786e-01   7.6913044e-01   1.1104525e+00   1.5995580e+00   2.3254125e+00
   2.4802759e-01   2.4745715e-01   2.4406191e-01   2.3823195e-01   2.2961486e-01   2.1777098e-01   2.0346982e-01   1.8706821e-01   1.6904409e-01   1.5031420e-01   1.3228177e-01   1.1521261e-01   1.0046158e-01   8.8206380e-02   7.8614019e-02   7.1367421e-02   6.6680677e-02   6.4788810e-02   6.5237904e-02   6.8627788e-02   7.4730863e-02   8.4042701e-02   9.7386779e-02   1.1627866e-01   1.4141647e-01   1.7179084e-01   2.1208014e-01   2.6699308e-01   3.4197944e-01   4.4360864e-01   5.8210322e-01   7.6383578e-01   1.0174194e+00   1.3835664e+00   1.9142559e+00   2.6272415e+00   3.7068072e+00
   2.4745715e-01   2.4888573e-01   2.5061093e-01   2.5234808e-01   2.5351286e-01   2.5438998e-01   2.5409727e-01   2.5147800e-01   2.4575366e-01   2.3604782e-01   2.2361452e-01   2.0917029e-01   1.9453601e-01   1.8134267e-01   1.7002000e-01   1.6162182e-01   1.5631476e-01   1.5541753e-01   1.5885467e-01   1.6710906e-01   1.8092559e-01   2.0160440e-01   2.3014418e-01   2.6915348e-01   3.1952144e-01   3.8106582e-01   4.6078677e-01   5.7016427e-01   7.1614341e-01   9.1306144e-01   1.1735457e+00   1.5135612e+00   1.9678863e+00   2.5941794e+00   3.4713628e+00   4.7097733e+00   6.4863443e+00
   2.4745715e-01   2.5032256e-01   2.5438998e-01   2.5941794e-01   2.6515511e-01   2.7289778e-01   2.8151400e-01   2.9107171e-01   3.0026174e-01   3.0867396e-01   3.1586390e-01   3.2210688e-01   3.2771778e-01   3.3304276e-01   3.3884416e-01   3.4554133e-01   3.5440513e-01   3.6728230e-01   3.8503481e-01   4.0973211e-01   4.4411966e-01   4.9090788e-01   5.5271341e-01   6.3241185e-01   7.3366871e-01   8.5802511e-01   1.0185914e+00   1.2302688e+00   1.5083426e+00   1.8771544e+00   2.3631974e+00   2.9853826e+00   3.8018940e+00   4.8865236e+00   6.3533093e+00   8.3560302e+00   1.1194379e+01
   2.4632018e-01   2.4917244e-01   2.5351286e-01   2.5852348e-01   2.6607251e-01   2.7605779e-01   2.8940098e-01   3.0690220e-01   3.2923045e-01   3.5809644e-01   3.9355008e-01   4.3601356e-01   4.8584753e-01   5.4262525e-01   6.0464435e-01   6.6988461e-01   7.3875426e-01   8.0909590e-01   8.8409717e-01   9.6493931e-01   1.0568175e+00   1.1708466e+00   1.3076755e+00   1.4740085e+00   1.6768723e+00   1.9297453e+00   2.2438819e+00   2.6546056e+00   3.1768741e+00   3.8636698e+00   4.7478829e+00   5.8884366e+00   7.3451387e+00   9.2469817e+00   1.1748976e+01   1.5135612e+01   1.9746949e+01
   2.4717241e-01   2.4859936e-01   2.5176769e-01   2.5615333e-01   2.6272415e-01   2.7289778e-01   2.8773984e-01   3.0938553e-01   3.3962527e-01   3.8238425e-01   4.4055486e-01   5.1939767e-01   6.2301715e-01   7.5596206e-01   9.1939047e-01   1.1155782e+00   1.3396767e+00   1.5776113e+00   1.8344252e+00   2.0965248e+00   2.3686451e+00   2.6607251e+00   2.9853826e+00   3.3496544e+00   3.7757219e+00   4.2805542e+00   4.9034302e+00   5.6819839e+00   6.6603952e+00   7.9250133e+00   9.5279616e+00   1.1547820e+01   1.4141647e+01   1.7478333e+01   2.1777098e+01   2.7352687e+01   3.4873858e+01
   2.5003454e-01   2.5003454e-01   2.5147800e-01   2.5409727e-01   2.5911944e-01   2.6760856e-01   2.8151400e-01   3.0338912e-01   3.3612437e-01   3.8592241e-01   4.5814189e-01   5.6428694e-01   7.1614341e-01   9.3218047e-01   1.2288532e+00   1.6218101e+00   2.1208014e+00   2.7101916e+00   3.3923449e+00   4.1067664e+00   4.8584753e+00   5.6363766e+00   6.4268772e+00   7.2610596e+00   8.1752304e+00   9.2150989e+00   1.0447202e+01   1.1926143e+01   1.3740420e+01   1.6014006e+01   1.8858190e+01   2.2413000e+01   2.6946353e+01   3.2658783e+01   3.9994475e+01   4.9602093e+01   6.2015464e+01
   2.5733568e-01   2.5615333e-01   2.5674382e-01   2.5733568e-01   2.6091557e-01   2.6730064e-01   2.7925438e-01   2.9888216e-01   3.3036954e-01   3.8018940e-01   4.5551219e-01   5.7345587e-01   7.5162289e-01   1.0244718e+00   1.4321879e+00   2.0276827e+00   2.8674774e+00   3.9764910e+00   5.3826978e+00   7.0145530e+00   8.8409717e+00   1.0739894e+01   1.2720378e+01   1.4723125e+01   1.6788040e+01   1.8988908e+01   2.1428906e+01   2.4238180e+01   2.7574015e+01   3.1622777e+01   3.6559479e+01   4.2707092e+01   5.0350061e+01   5.9979108e+01   7.2193816e+01   8.7700082e+01   1.0801896e+02
